guess,exp_remaining,entropy,worst_case,partitions
forts,747.4301572617946,5.134707019301307,2055,166
speld,747.6731421523281,5.030177160355948,1784,154
burse,747.7049028677151,5.108561725317246,1722,166
turds,747.795713845205,5.1473300414843255,1984,163
laked,748.0161887141536,5.009886424201315,1976,139
pelau,748.0991366019118,5.00250040644932,1560,148
icons,748.3621646623496,4.985361751328292,1937,146
flors,748.3624730188097,4.984617701136679,1820,147
swain,748.3711069996916,4.998182623777266,1745,150
bhais,748.3834412580943,5.015684763385488,1738,150
loued,748.4366327474561,5.083776378323968,2002,153
hepar,748.4480419364786,5.003313888158912,1783,148
tiger,748.4522047486895,5.095988647916303,2186,158
buats,748.6036077705828,5.148347460133964,1899,172
hoied,748.608849830404,5.020707253181544,1899,150
lasts,748.6504779525131,5.044049000781131,2132,140
genal,748.7488436632748,5.083031051113184,1773,168
surer,748.8018809744065,4.953763668347038,1845,134
sprew,748.8382670366944,4.975975427246121,1907,136
ogams,748.8438174529756,4.8725111889842605,1651,133
aloos,749.09111933395,4.937539480486864,1678,129
mawrs,749.099907493062,5.03046272921874,1947,147
vases,749.1248843663275,4.813302908458605,1649,123
chais,749.2460684551342,5.103039071426108,1769,161
liney,749.3026518655565,5.092221017582602,2076,154
pilar,749.4352451433857,5.113213550423661,2040,165
kirns,749.6074622263336,5.134548266976138,1983,167
nazis,749.8876040703053,4.8855327356437455,1852,134
scopa,750.0447116867099,4.96554959269437,1595,145
durns,750.0738513721863,5.129896615176181,1859,163
scree,750.0963613937712,5.06844260780903,1951,145
shrew,750.1056120875733,4.9750451692627085,1873,144
bayts,750.2958680234351,5.0318390819996885,1829,152
eisel,750.5903484427998,4.973666856464476,1852,131
tzars,750.704594511255,4.930568135344497,1819,117
vinas,750.7534690101758,5.0045319459768915,1800,154
peres,750.7745914276904,5.207060265116962,2079,168
newts,750.8566142460685,5.034794669853918,1776,155
laity,750.9890533456676,5.113925716849693,2197,152
foils,751.0394696268887,5.069881587110511,2016,152
wared,751.213845205057,5.110386249832808,2114,160
waide,751.304656182547,4.97102016473346,1696,148
sixte,751.4020968239284,4.926329752485057,1728,133
rimus,751.413351834721,5.058150770679533,1978,148
siens,751.4693185322233,5.077850075156687,1785,139
korus,751.6247301880975,5.094404456739479,2054,157
savoy,751.6480111008326,4.813899186359841,1559,124
ascot,751.6600370027752,4.935246942488637,1500,151
gadso,751.7506938020351,4.911201580689668,1633,141
flats,751.8697193956214,5.070938954701785,1936,167
tubas,752.009096515572,5.096854633159181,1899,162
opahs,752.0333024976874,4.916457480440368,1641,145
hilar,752.0798643231576,5.034370339917119,2015,147
patio,752.1389145852605,5.014259369478667,1575,160
dints,752.1398396546408,5.198100261992901,2083,158
dairy,752.1967314215233,5.084995244964601,2112,157
deres,752.3328707986433,5.24830359771069,2082,173
korat,752.3768115942029,5.074846420918481,1925,164
smolt,752.4347826086956,5.066016861213072,2047,148
owsen,752.4690101757632,4.87220692121464,1563,138
dashi,752.5078630897317,4.922230487632596,1727,147
sharp,752.7027443724946,5.01131866762504,1786,152
plots,752.8216157878508,5.182246735303149,2137,169
raspy,752.8220783225408,5.039157059267168,1866,158
spike,752.8684859697811,5.002675927232623,1716,146
danio,752.8991674375578,5.087203825634287,1662,160
mozes,752.927382053654,4.883282835684122,1745,138
okays,753.0561208757323,4.790645530622684,1508,120
rowel,753.1597286463151,4.968266078839245,2047,148
shoes,753.1745297563984,4.969743305705611,1804,132
labor,753.368331791551,4.997813519421921,1991,156
tater,753.4278445883441,4.948857290700597,1968,143
clams,753.4426456984273,5.078614854692301,1955,159
sisal,753.5855689176689,4.964213180827921,1857,134
remap,753.6086956521739,5.002863601201692,1839,134
caple,753.6145544249152,5.114630098243553,1822,166
ludos,753.868177613321,5.075827819105803,2012,156
sirup,753.9491211840888,5.035186014972103,1993,146
tarre,753.95451742214,5.065423730224748,1968,142
rojis,754.2224791859389,4.829974664036537,1831,128
spaul,754.2869256860931,5.024079720112272,1870,151
scour,754.3411964230651,4.974316980432078,1889,147
hayle,754.4068763490595,5.000318510656203,1720,156
dinar,754.4990749306198,5.157477992159354,2136,168
lyams,754.7934011717546,5.017106513846812,1837,160
heres,754.8701819303114,5.119343889791076,2024,154
slues,754.9016342892384,5.025480558330033,1961,141
gudes,754.9441874807277,5.041111130100072,1887,162
doxes,754.9625346901017,4.889634070770475,1821,132
curls,755.1916435399322,5.098496708515526,1928,158
shaul,755.5618254702435,5.025480755328833,1819,154
